" ","Week 11","Week 12","Week 13","Week 14"
"Langedijk","1.09","1.96","1.52","1.09"
"Laren (NH.)","0.38","1.92","1.15","1.15"
"Medemblik","0.90","1.10","0.80","1.20"
"Oostzaan","0.86","0.00","0.86","0.43"
"Opmeer","1.50","2.00","1.50","0.50"
"Ouder-Amstel","0.39","1.17","1.57","0.39"
"Purmerend","1.12","1.26","1.68","1.26"
"Schagen","0.79","0.89","0.50","1.09"
"Texel","0.94","0.94","1.25","1.88"
"Uitgeest","0.53","0.00","1.59","0.53"
"Uithoorn","1.43","2.38","0.24","1.19"
"Velsen","0.66","1.23","1.23","2.62"
"Weesp","0.67","1.11","1.56","1.11"
"Zandvoort","1.33","1.33","2.22","1.78"
"Zaanstad","0.80","1.00","0.86","1.36"
"Alblasserdam","0.29","1.14","0.57","0.29"
"Alphen aan den Rijn","1.12","1.01","0.73","1.40"
"Barendrecht","1.01","1.01","0.89","0.76"
"Drechterland","1.04","1.38","1.38","1.38"
"Brielle","1.23","1.64","1.23","1.64"
"Capelle aan den IJssel","1.11","1.11","1.11","1.88"
"Delft","0.88","1.01","1.07","0.88"
"Dordrecht","0.91","0.82","1.16","1.47"
"Gorinchem","1.61","1.29","0.81","2.26"
"Gouda","0.88","0.95","1.46","1.46"
"'s-Gravenhage (gemeente)","0.81","1.00","1.01","1.73"
"Hardinxveld-Giessendam","1.28","0.77","0.77","1.28"
"Hellevoetsluis","0.78","1.56","1.09","1.41"
"Hendrik-Ido-Ambacht","0.77","0.38","0.19","0.58"
"Stede Broec","2.12","1.52","1.21","1.82"
"Hillegom","0.91","0.91","0.68","0.45"
"Katwijk","0.76","0.91","0.98","0.91"
"Krimpen aan den IJssel","0.96","1.73","1.73","1.92"
"Leiden","0.82","0.87","1.22","1.38"
"Leiderdorp","1.22","0.82","1.43","1.63"
"Lisse","0.31","0.94","0.94","2.19"
"Maassluis","0.72","1.01","0.43","1.30"
"Nieuwkoop","1.52","1.09","1.09","1.30"
"Noordwijk","0.95","0.24","1.43","1.43"
"Oegstgeest","1.06","0.21","0.85","1.49"
"Oudewater","3.50","2.33","2.33","1.75"
"Papendrecht","1.36","0.68","1.69","1.19"
"Ridderkerk","0.97","2.58","1.51","1.61"
"Rotterdam","1.00","1.09","1.20","1.62"
"Rijswijk (ZH.)","0.88","1.14","1.23","1.49"
"Schiedam","1.26","0.96","0.72","0.72"
"Sliedrecht","0.31","0.78","1.56","0.63"
"Albrandswaard","1.11","1.39","1.39","0.83"
"Westvoorne","0.64","0.21","0.64","0.43"
"Vlaardingen","1.25","0.88","1.00","1.44"
"Voorschoten","0.79","0.79","0.95","1.75"
"Waddinxveen","1.46","0.42","1.04","1.04"
"Wassenaar","2.15","1.69","0.77","0.92"
"Woerden","1.97","1.05","1.32","1.97"
"Zoetermeer","1.17","0.89","1.23","1.40"
